"","id","obs.id"
"1",0,114349
"2",1,122
"3",2,1051
"4",3,249
"5",4,479
"6",5,405
"7",6,229
"8",7,453
"9",8,194
"10",9,279
"11",10,183
"12",11,452
"13",12,98
"14",13,51
"15",14,99
"16",15,85
"17",16,63
"18",17,962
"19",18,84
"20",19,392
"21",20,128
"22",21,432
"23",22,149
"24",23,492
"25",24,907
"26",25,463
"27",26,613
"28",27,376
"29",28,475
"30",29,749
"31",30,980
"32",31,483
"33",32,654
"34",33,466
"35",34,165
"36",35,527
"37",36,495
"38",37,497
"39",38,502
"40",39,764
"41",40,21
"42",41,243
"43",42,68
"44",43,77
"45",44,287
"46",45,433
"47",46,91
"48",47,545
"49",48,64
"50",49,477
"51",50,464
"52",51,193
"53",52,829
"54",53,348
"55",54,222
"56",55,389
"57",56,659
"58",57,453
"59",58,402
"60",59,450
"61",60,453
"62",61,157
"63",62,417
"64",63,406
"65",64,951
"66",65,66
"67",66,378
"68",67,440
"69",68,423
"70",69,15
"71",70,129
"72",71,374
"73",72,441
"74",73,60
"75",74,465
"76",75,785
"77",76,395
"78",77,349
"79",78,275
"80",79,132
"81",80,306
"82",81,101
"83",82,97
"84",83,281
"85",84,170
"86",85,120
"87",86,464
"88",87,379
"89",88,315
"90",89,867
"91",90,58
"92",91,371
"93",92,49
"94",93,416
"95",94,315
"96",95,84
"97",96,905
"98",97,246
"99",98,750
"100",99,482
"101",100,107
"102",101,64
"103",102,149
"104",103,441
"105",104,388
"106",105,240
"107",106,74
"108",107,7
"109",108,458
"110",109,230
"111",110,241
"112",111,336
"113",112,245
"114",113,349
"115",114,761
"116",115,184
"117",116,814
"118",117,288
"119",118,12
"120",119,156
"121",120,708
"122",121,846
"123",122,179
"124",123,364
"125",124,283
"126",125,427
"127",126,108
"128",127,449
"129",128,406
"130",129,54
"131",130,102
"132",131,205
"133",132,277
"134",133,989
"135",134,104
"136",135,42
"137",136,416
"138",137,2
"139",138,870
"140",139,262
"141",140,417
"142",141,188
"143",142,210
"144",143,203
"145",144,699
"146",145,243
"147",146,53
"148",147,307
"149",148,838
"150",149,167
"151",150,700
"152",151,238
"153",152,665
"154",153,185
"155",154,1108
"156",155,81
"157",156,315
"158",157,95
"159",158,708
"160",159,76
"161",160,670
"162",161,149
"163",162,2
"164",163,90
"165",164,157
"166",165,828
"167",166,209
"168",167,562
"169",168,550
"170",169,22
"171",170,761
"172",171,633
"173",172,784
"174",173,238
"175",174,282
"176",175,3
"177",176,633
"178",177,992
"179",178,432
"180",179,566
"181",180,588
"182",181,297
"183",182,485
"184",183,333
"185",184,836
"186",185,942
"187",186,437
"188",187,4
"189",188,438
"190",189,174
"191",190,345
"192",191,466
"193",192,155
"194",193,325
"195",194,947
"196",195,304
"197",196,760
"198",197,342
"199",198,882
"200",199,222
"201",200,464
"202",201,414
"203",202,674
"204",203,432
"205",204,127
"206",205,366
"207",206,73
"208",207,51
"209",208,123
"210",209,151
"211",210,317
"212",211,122
"213",212,51
"214",213,360
"215",214,434
"216",215,471
"217",216,255
"218",217,181
"219",218,220
"220",219,185
"221",220,410
"222",221,206
"223",222,454
"224",223,918
"225",224,17
"226",225,348
"227",226,17
"228",227,285
"229",228,558
"230",229,447
"231",230,182
"232",231,471
"233",232,889
"234",233,139
"235",234,257
"236",235,12
"237",236,52
"238",237,147
"239",238,74
"240",239,413
"241",240,412
"242",241,451
"243",242,350
"244",243,412
"245",244,446
"246",245,436
"247",246,444
"248",247,199
"249",248,1032
"250",249,231
"251",250,182
"252",251,27
"253",252,511
"254",253,532
"255",254,454
"256",255,664
"257",256,96
"258",257,899
"259",258,450
"260",259,76
"261",260,390
"262",261,50
"263",262,250
"264",263,361
"265",264,44
"266",265,442
"267",266,444
"268",267,409
"269",268,429
"270",269,193
"271",270,413
"272",271,503
"273",272,257
"274",273,215
"275",274,4
"276",275,0
"277",276,0
"278",277,918
"279",278,0
"280",279,825
"281",280,15
"282",281,81
"283",282,92
"284",283,90
"285",284,87
"286",285,83
"287",286,0
"288",287,816
"289",288,41
"290",289,0
"291",290,91
"292",291,0
"293",292,0
"294",293,0
"295",294,0
"296",295,75
"297",296,14
"298",297,10
"299",298,70
"300",299,340
"301",300,970
"302",301,463
"303",302,957
"304",303,586
"305",304,137
"306",305,270
"307",306,240
"308",307,177
"309",308,85
"310",309,219
"311",310,235
"312",311,67
"313",312,218
"314",313,373
"315",314,902
"316",315,192
"317",316,79
"318",317,49
"319",318,205
"320",319,120
"321",320,634
"322",321,354
"323",322,303
"324",323,34
"325",324,37
"326",325,834
"327",326,218
"328",327,164
"329",328,986
"330",329,455
"331",330,454
"332",331,364
"333",332,18
