"","id","obs.id"
"1",0,118783
"2",1,117
"3",2,1041
"4",3,243
"5",4,474
"6",5,402
"7",6,228
"8",7,442
"9",8,192
"10",9,275
"11",10,148
"12",11,443
"13",12,96
"14",13,46
"15",14,96
"16",15,83
"17",16,60
"18",17,927
"19",18,84
"20",19,353
"21",20,124
"22",21,426
"23",22,135
"24",23,495
"25",24,885
"26",25,465
"27",26,586
"28",27,338
"29",28,479
"30",29,711
"31",30,932
"32",31,486
"33",32,616
"34",33,469
"35",34,165
"36",35,509
"37",36,498
"38",37,501
"39",38,491
"40",39,734
"41",40,21
"42",41,227
"43",42,60
"44",43,74
"45",44,283
"46",45,424
"47",46,89
"48",47,540
"49",48,62
"50",49,473
"51",50,459
"52",51,193
"53",52,812
"54",53,342
"55",54,219
"56",55,372
"57",56,642
"58",57,452
"59",58,391
"60",59,445
"61",60,448
"62",61,155
"63",62,414
"64",63,403
"65",64,932
"66",65,66
"67",66,374
"68",67,436
"69",68,418
"70",69,15
"71",70,124
"72",71,360
"73",72,406
"74",73,60
"75",74,462
"76",75,780
"77",76,385
"78",77,345
"79",78,275
"80",79,132
"81",80,302
"82",81,100
"83",82,96
"84",83,280
"85",84,169
"86",85,120
"87",86,462
"88",87,374
"89",88,312
"90",89,858
"91",90,56
"92",91,366
"93",92,49
"94",93,393
"95",94,309
"96",95,81
"97",96,873
"98",97,243
"99",98,736
"100",99,479
"101",100,104
"102",101,64
"103",102,145
"104",103,439
"105",104,385
"106",105,237
"107",106,74
"108",107,7
"109",108,454
"110",109,223
"111",110,234
"112",111,329
"113",112,242
"114",113,349
"115",114,755
"116",115,177
"117",116,806
"118",117,285
"119",118,12
"120",119,150
"121",120,687
"122",121,828
"123",122,178
"124",123,349
"125",124,277
"126",125,422
"127",126,108
"128",127,428
"129",128,390
"130",129,53
"131",130,101
"132",131,201
"133",132,261
"134",133,978
"135",134,100
"136",135,41
"137",136,397
"138",137,2
"139",138,847
"140",139,241
"141",140,407
"142",141,183
"143",142,209
"144",143,194
"145",144,682
"146",145,226
"147",146,53
"148",147,302
"149",148,822
"150",149,164
"151",150,685
"152",151,233
"153",152,650
"154",153,177
"155",154,1095
"156",155,79
"157",156,298
"158",157,89
"159",158,673
"160",159,72
"161",160,646
"162",161,145
"163",162,2
"164",163,73
"165",164,151
"166",165,761
"167",166,207
"168",167,558
"169",168,523
"170",169,17
"171",170,741
"172",171,614
"173",172,776
"174",173,234
"175",174,278
"176",175,3
"177",176,621
"178",177,971
"179",178,422
"180",179,551
"181",180,576
"182",181,286
"183",182,465
"184",183,332
"185",184,816
"186",185,923
"187",186,432
"188",187,4
"189",188,431
"190",189,174
"191",190,342
"192",191,463
"193",192,154
"194",193,317
"195",194,928
"196",195,304
"197",196,753
"198",197,334
"199",198,858
"200",199,217
"201",200,460
"202",201,409
"203",202,661
"204",203,431
"205",204,125
"206",205,361
"207",206,73
"208",207,51
"209",208,121
"210",209,151
"211",210,311
"212",211,121
"213",212,51
"214",213,345
"215",214,431
"216",215,469
"217",216,251
"218",217,181
"219",218,216
"220",219,182
"221",220,407
"222",221,199
"223",222,445
"224",223,899
"225",224,18
"226",225,350
"227",226,20
"228",227,324
"229",228,548
"230",229,431
"231",230,212
"232",231,470
"233",232,886
"234",233,137
"235",234,253
"236",235,12
"237",236,52
"238",237,146
"239",238,74
"240",239,410
"241",240,407
"242",241,439
"243",242,344
"244",243,398
"245",244,440
"246",245,432
"247",246,428
"248",247,191
"249",248,1005
"250",249,230
"251",250,180
"252",251,27
"253",252,509
"254",253,531
"255",254,437
"256",255,657
"257",256,96
"258",257,886
"259",258,444
"260",259,76
"261",260,386
"262",261,50
"263",262,245
"264",263,357
"265",264,44
"266",265,438
"267",266,440
"268",267,403
"269",268,424
"270",269,191
"271",270,411
"272",271,499
"273",272,253
"274",273,203
"275",274,256
"276",275,385
"277",276,493
"278",277,910
"279",278,190
"280",279,824
"281",280,291
"282",281,557
"283",282,647
"284",283,522
"285",284,591
"286",285,150
"287",286,209
"288",287,816
"289",288,538
"290",289,135
"291",290,612
"292",291,187
"293",292,120
"294",293,131
"295",294,387
"296",295,93
"297",296,510
"298",297,516
"299",298,66
"300",299,331
"301",300,927
"302",301,438
"303",302,937
"304",303,585
"305",304,135
"306",305,263
"307",306,203
"308",307,174
"309",308,79
"310",309,213
"311",310,233
"312",311,65
"313",312,216
"314",313,368
"315",314,890
"316",315,183
"317",316,77
"318",317,47
"319",318,200
"320",319,113
"321",320,627
"322",321,353
"323",322,301
"324",323,34
"325",324,34
"326",325,817
"327",326,215
"328",327,162
"329",328,967
"330",329,439
"331",330,447
"332",331,284
"333",332,16
